date,Voltage,Balance,Max Cell,Min Cell,Diff V,Max T,Min T,Diff T,Vrack[V],lrack[A],SOC[%],Relay,FAN,BMS MODE,dianostic
2024-02-13_16:56:21,44.000 V,0x5577aa,3.963 V,3.561 V,0.402 V,4 ¡ÆC,-38 ¡ÆC,42 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,43.500 V,0x6688bb,3.946 V,3.350 V,0.596 V,5 ¡ÆC,-40 ¡ÆC,45 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,42.100 V,0x7799cc,3.965 V,3.567 V,0.398 V,0 ¡ÆC,-40 ¡ÆC,40 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,41.600 V,0x88aadd,3.892 V,3.481 V,0.411 V,7 ¡ÆC,-35 ¡ÆC,42 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,43.400 V,0x99bbee,3.948 V,3.483 V,0.465 V,0 ¡ÆC,-31 ¡ÆC,31 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,40.000 V,0x5577aa,3.977 V,3.569 V,0.408 V,2 ¡ÆC,-37 ¡ÆC,39 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,40.300 V,0x6688bb,3.989 V,3.410 V,0.579 V,2 ¡ÆC,-34 ¡ÆC,36 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,41.900 V,0x7799cc,3.941 V,3.337 V,0.604 V,5 ¡ÆC,-39 ¡ÆC,44 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,42.700 V,0x88aadd,3.947 V,3.292 V,0.655 V,2 ¡ÆC,-32 ¡ÆC,34 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,41.300 V,0x99bbee,3.896 V,3.298 V,0.598 V,8 ¡ÆC,-34 ¡ÆC,42 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
